0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
25140,10024,7863,22717,25026,7196,23587,16894,7395,21493,24188,7705,28385,21801,7880,22502,24818,6190,24540,17901,7580,23361,31722,6907,28825,22260,6793,26508,22790,5032,26019,21602,6046,25193,28550,6015,28045,23978,8403,23396,21240,6387,28105,14915,7071,25008,21054,9414
25148,9999,7858,22727,25040,7176,23592,16895,7408,21500,24214,7780,28399,21823,7873,22486,24805,6222,24527,17874,7548,23360,31720,6963,28836,22248,6774,26507,22802,5080,26013,21590,6040,25200,28526,6129,28053,23969,8436,23393,21295,6412,28096,14901,7065,24995,21056,9388
25152,10037,7866,22730,25023,7158,23589,16906,7438,21504,24204,7740,28390,21812,7894,22511,24827,6236,24540,17897,7566,23389,31715,6947,28828,22250,6775,26503,22770,5065,26014,21582,6014,25199,28546,6064,28046,24003,8423,23406,21289,6414,28105,14949,7078,25011,21062,9407
25139,10005,7850,22756,25039,7245,23582,16891,7397,21481,24190,7702,28382,21796,7866,22486,24824,6245,24545,17886,7541,23363,31718,6886,28815,22268,6782,26502,22787,5023,26015,21608,6043,25215,28547,6103,28054,23980,8424,23396,21280,6414,28103,14904,7037,25016,21048,9432
25143,10011,7836,22732,25030,7201,23579,16882,7445,21501,24204,7752,28384,21817,7893,22500,24819,6200,24548,17896,7581,23368,31720,6913,28831,22272,6774,26509,22785,5007,26017,21565,6022,25213,28539,6043,28045,23986,8433,23402,21289,6431,28105,14931,7090,25015,21022,9436
25144,10037,7865,22714,25007,7167,23582,16890,7399,21486,24196,7708,28388,21812,7935,22506,24816,6179,24533,17902,7598,23375,31713,6925,28823,22266,6759,26504,22791,5022,26017,21572,6030,25198,28543,6071,28060,23998,8451,23403,21275,6382,28099,14926,7026,25009,21022,9409
25137,10023,7845,22724,25024,7197,23587,16869,7402,21503,24206,7730,28392,21828,7944,22515,24838,6253,24545,17891,7559,23376,31721,6923,28831,22237,6785,26500,22788,5037,26005,21585,6040,25196,28533,6112,28045,23974,8433,23393,21285,6395,28100,14936,7069,25009,21023,9440
25133,10004,7834,22744,25012,7154,23587,16898,7418,21508,24197,7753,28386,21815,7914,22497,24814,6209,24537,17905,7594,23381,31726,6908,28823,22269,6778,26500,22765,5052,26009,21583,6033,25197,28546,6013,28051,23990,8449,23401,21290,6430,28100,14932,7050,25034,21047,9414
25139,9996,7845,22725,25018,7208,23577,16907,7403,21493,24185,7702,28383,21829,7909,22483,24820,6204,24542,17892,7577,23369,31705,6898,28826,22263,6766,26505,22776,5030,26019,21582,6028,25202,28545,6088,28050,23979,8426,23401,21303,6429,28097,14917,7087,25023,21045,9445
25130,10008,7838,22731,25037,7193,23597,16897,7421,21502,24200,7728,28387,21808,7885,22489,24819,6197,24550,17898,7573,23371,31721,6894,28835,22277,6798,26502,22793,5010,26013,21571,6055,25192,28537,6115,28055,23976,8441,23401,21297,6416,28092,14918,7038,25014,20975,9440
25145,10014,7852,22740,25034,7240,23590,16907,7397,21492,24176,7724,28382,21838,7929,22488,24818,6221,24544,17894,7572,23377,31714,6928,28823,22272,6785,26510,22781,5012,26015,21576,6061,25210,28558,6051,28059,24005,8428,23406,21246,6406,28103,14903,7052,25009,20975,9416
25141,10013,7849,22730,25029,7203,23573,16888,7399,21484,24176,7732,28392,21838,7902,22487,24821,6190,24539,17899,7591,23378,31714,6935,28830,22271,6797,26505,22773,5030,26009,21570,6056,25197,28529,6070,28055,23970,8431,23397,21228,6404,28112,14932,7109,25004,20937,9426
25146,10020,7855,22734,25016,7181,23581,16901,7423,21492,24197,7738,28392,21824,7931,22494,24812,6177,24542,17863,7576,23371,31701,6961,28834,22253,6784,26488,22777,5040,26022,21559,6037,25190,28525,6129,28051,23988,8422,23408,21195,6377,28110,14893,7053,25010,20913,9432
25136,10013,7864,22724,25026,7185,23585,16907,7410,21481,24165,7732,28383,21798,7861,22490,24799,6171,24532,17878,7571,23362,31692,6893,28820,22233,6741,26501,22766,5045,26035,21591,6056,25207,28523,6102,28055,23990,8427,23415,21196,6413,28112,14884,7063,25017,20909,9409
25143,9995,7836,22734,25032,7164,23598,16903,7402,21510,24198,7761,28392,21843,7881,22489,24794,6180,24543,17882,7575,23376,31710,6949,28827,22255,6812,26502,22771,5035,26014,21578,6032,25204,28538,6060,28050,23962,8407,23411,21173,6396,28111,14902,7080,25019,20889,9430
25142,10003,7843,22746,25040,7211,23582,16910,7446,21505,24184,7742,28393,21828,7922,22489,24827,6212,24540,17896,7600,23385,31705,6969,28822,22239,6752,26506,22771,5031,26008,21586,6055,25195,28515,6132,28059,23981,8447,23428,21175,6404,28106,14875,7033,25021,20912,9455
25138,9969,7815,22727,25011,7173,23580,16895,7412,21511,24209,7755,28392,21817,7927,22486,24801,6188,24546,17884,7588,23371,31701,6931,28839,22235,6767,26517,22739,5064,26031,21583,6058,25203,28509,6079,28057,23984,8425,23425,21164,6436,28119,14897,7101,25017,20848,9408
25135,9978,7862,22734,25036,7160,23590,16901,7387,21484,24195,7745,28392,21830,7935,22478,24794,6203,24542,17890,7598,23360,31694,6918,28834,22253,6800,26504,22763,5062,26021,21594,6052,25220,28523,6003,28061,23987,8458,23429,21153,6435,28114,14863,7042,25021,20842,9443
25153,10032,7892,22723,25008,7162,23584,16914,7398,21496,24180,7703,28395,21833,7945,22498,24828,6258,24550,17898,7608,23362,31682,6916,28829,22245,6777,26506,22757,5035,26026,21558,6026,25198,28520,6128,28057,23991,8450,23430,21118,6423,28119,14893,7085,25024,20788,9414
