0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
25163,10006,7799,21900,23137,6499,23270,16365,7151,21859,22734,7786,28445,21850,7964,22477,24625,6068,24655,17847,7497,23375,31574,6969,28864,22258,6821,26350,22793,5125,26036,21652,6102,25213,28488,6081,28071,23930,8513,23504,20690,6484,28125,14596,7106,25107,20389,9413
25163,10002,7787,21902,23136,6513,23267,16364,7145,21871,22732,7853,28453,21857,8002,22471,24636,6087,24657,17870,7497,23363,31580,6919,28867,22261,6846,26348,22807,5098,26025,21623,6049,25213,28473,6111,28068,23931,8494,23502,20687,6500,28126,14586,7098,25103,20365,9393
25156,9981,7773,21902,23139,6529,23264,16361,7156,21848,22722,7830,28452,21827,7951,22451,24594,6049,24666,17881,7521,23366,31567,6969,28862,22270,6844,26336,22797,5148,26049,21667,6092,25217,28471,6119,28065,23938,8532,23503,20675,6495,28123,14584,7094,25100,20375,9375
25163,10015,7827,21932,23138,6491,23262,16362,7154,21838,22717,7816,28445,21826,7997,22472,24631,6059,24658,17855,7507,23356,31583,6917,28867,22261,6833,26339,22801,5091,26031,21651,6067,25210,28481,6080,28063,23911,8501,23496,20662,6499,28128,14584,7105,25089,20349,9370
25163,10000,7817,21916,23147,6572,23259,16351,7162,21849,22724,7781,28450,21830,7974,22467,24615,6047,24660,17863,7507,23338,31559,6854,28869,22255,6850,26340,22789,5150,26055,21646,6042,25221,28472,6019,28068,23924,8521,23509,20685,6484,28126,14564,7090,25103,20375,9383
25167,10020,7822,21894,23122,6487,23264,16340,7150,21848,22719,7825,28451,21846,7964,22482,24631,6077,24646,17856,7504,23349,31581,6907,28855,22248,6830,26341,22796,5136,26051,21683,6107,25214,28477,6099,28066,23926,8520,23511,20694,6504,28128,14599,7114,25104,20383,9416
25162,10017,7764,21897,23127,6509,23260,16365,7148,21848,22704,7806,28438,21821,7977,22468,24599,6046,24641,17845,7493,23380,31572,6983,28868,22264,6833,26343,22801,5147,26049,21637,6076,25225,28458,6086,28064,23926,8543,23515,20688,6495,28135,14606,7072,25108,20370,9377
25161,10001,7779,21883,23131,6523,23262,16348,7153,21858,22727,7833,28436,21831,7969,22492,24634,6108,24649,17840,7488,23365,31557,6962,28865,22239,6823,26350,22801,5146,26040,21665,6109,25205,28487,6039,28066,23936,8518,23513,20689,6477,28117,14565,7086,25111,20398,9430
25172,10005,7782,21903,23148,6565,23256,16357,7141,21851,22730,7834,28451,21835,7946,22484,24626,6118,24650,17845,7504,23357,31568,6901,28858,22260,6798,26333,22790,5155,26030,21654,6056,25215,28467,6079,28069,23913,8517,23503,20686,6461,28127,14589,7041,25111,20367,9411
25168,9999,7797,21899,23124,6502,23261,16370,7171,21842,22700,7821,28452,21831,7996,22469,24618,6053,24660,17850,7508,23363,31575,6927,28862,22239,6827,26339,22801,5166,26033,21650,6074,25220,28471,6079,28060,23917,8511,23513,20660,6477,28130,14592,7114,25112,20385,9407
25167,10010,7778,21904,23125,6518,23259,16339,7122,21837,22700,7806,28440,21824,7961,22493,24625,6080,24655,17859,7509,23350,31555,6917,28868,22248,6831,26352,22794,5162,26043,21682,6086,25205,28468,6117,28060,23930,8522,23511,20678,6505,28122,14576,7084,25096,20380,9404
25163,9994,7767,21893,23143,6515,23262,16357,7151,21852,22720,7796,28439,21827,7960,22506,24640,6105,24653,17855,7485,23357,31564,6910,28860,22249,6820,26348,22778,5152,26048,21687,6044,25206,28479,6033,28056,23924,8524,23503,20671,6484,28134,14601,7106,25103,20357,9385
25169,10023,7781,21910,23138,6513,23267,16374,7177,21843,22720,7825,28443,21842,7943,22490,24633,6085,24647,17851,7504,23348,31569,6935,28858,22245,6806,26334,22779,5155,26037,21633,6082,25213,28457,6106,28074,23940,8506,23509,20686,6478,28126,14584,7108,25109,20387,9417
