                          Allegro Hand - Index Finger,x,y,,,,50,50,190,230,,50,78
MTB1 1,575,296,,,,,,,,,,
2,675,296,,,,,,,,,,
3,625,296,,,,,,,,,,
4,725,296,,,,,,,,,,
5,575,346,,,,,,,,,,
6,675,346,,,,,,,,,,
7,625,346,,,,,,,,,,
8,725,346,,,,,,,,,,
9,575,396,,,,,,,,,,
10,675,396,,,,,,,,,,
11,625,396,,,,,,,,,,
12,725,396,,,,,,,,,,
13,575,446,,,,,,,,,,
14,675,446,,,,,,,,,,
15,625,446,,,,,,,,,,
16,725,446,,,,,,,,,,
MTB2 1,915,296,,,,,,,,,,
2,1015,296,,,,,,,,,,
3,965,296,,,,,,,,,,
4,1065,296,,,,,,,,,,
5,915,346,,,,,,,,,,
6,1015,346,,,,,,,,,,
7,965,346,,,,,,,,,,
8,1065,346,,,,,,,,,,
9,915,396,,,,,,,,,,
10,1015,396,,,,,,,,,,
11,965,396,,,,,,,,,,
12,1065,396,,,,,,,,,,
13,915,446,,,,,,,,,,
14,1015,446,,,,,,,,,,
15,965,446,,,,,,,,,,
16,1065,446,,,,,,,,,,
MTB3 1,1295,446,,,,,,,,,,
2,1195,446,,,,,,,,,,
3,1245,446,,,,,,,,,,
4,1145,446,,,,,,,,,,
5,1295,396,,,,,,,,,,
6,1195,396,,,,,,,,,,
7,1245,396,,,,,,,,,,
8,1145,396,,,,,,,,,,
9,1295,346,,,,,,,,,,
10,1195,346,,,,,,,,,,
11,1245,346,,,,,,,,,,
12,1145,346,,,,,,,,,,
13,1295,296,,,,,,,,,,
14,1195,296,,,,,,,,,,
15,1245,296,,,,,,,,,,
16,1145,296,,,,,,,,,,
MTB4 1,287,375,,,,,,,,,,
2,387,375,,,,,,,,,,
3,337,375,,,,,,,,,,
4,437,375,,,,,,,,,,
5,232,375,,,,,,,,,,
6,232,453,,,,,,,,,,
7,177,375,,,,,,,,,,
8,232,297,,,,,,,,,,
9,287,531,,,,,,,,,,
10,387,531,,,,,,,,,,
11,337,531,,,,,,,,,,
12,437,531,,,,,,,,,,
13,287,453,,,,,,,,,,
14,387,453,,,,,,,,,,
15,337,453,,,,,,,,,,
16,437,453,,,,,,,,,,
MTB5 1,287,297,,,,,,,,,,
2,387,297,,,,,,,,,,
3,337,297,,,,,,,,,,
4,437,297,,,,,,,,,,
5,287,219,,,,,,,,,,
6,387,219,,,,,,,,,,
7,337,219,,,,,,,,,,
8,437,219,,,,,,,,,,
9,-20,-20,,,,,,,,,,
10,-20,-20,,,,,,,,,,
11,-20,-20,,,,,,,,,,
12,-20,-20,,,,,,,,,,
13,-20,-20,,,,,,,,,,
14,-20,-20,,,,,,,,,,
15,-20,-20,,,,,,,,,,
16,-20,-20,,,,,,,,,,
