0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
33018,32918,13281,32806,32793,13464,32949,32894,13319,32916,32824,13163,32803,32853,13161,32806,33155,13047,33022,33059,13593,32761,32837,13039,32904,32826,13415,33017,32891,13308,32894,32901,13529,32893,33042,13487,32863,32915,13169,32849,32961,13051,32891,32786,13098,32882,32848,13286
33018,32917,13312,32809,32799,13485,32949,32901,13329,32912,32814,13144,32810,32862,13149,32805,33156,13036,33027,33046,13581,32765,32840,13034,32905,32832,13407,33019,32894,13322,32894,32902,13512,32891,33037,13496,32865,32913,13170,32853,32952,13060,32893,32785,13098,32889,32847,13288
33017,32918,13299,32808,32796,13480,32945,32903,13344,32914,32821,13166,32804,32862,13145,32806,33151,13058,33027,33052,13548,32765,32836,13046,32905,32821,13415,33018,32896,13326,32893,32910,13541,32892,33040,13496,32870,32917,13182,32847,32955,13044,32893,32778,13106,32885,32847,12605
33018,32914,13303,32809,32790,13504,32945,32897,13324,32916,32822,13151,32805,32857,13164,32804,33151,13077,33025,33057,13583,32760,32844,13070,32903,32822,13405,33023,32893,13328,32897,32896,13522,32890,33042,13539,32865,32911,13172,32847,32952,13069,32896,32782,13133,32884,32848,12602
33016,32908,13312,32810,32795,13471,32946,32898,13345,32914,32815,13155,32811,32857,13140,32803,33153,13089,33027,33052,13574,32767,32831,13048,32900,32821,13423,33022,32892,13316,32894,32909,13534,32888,33033,13481,32864,32915,13194,32849,32960,13083,32892,32778,13113,32881,32846,13272
33019,32917,13336,32809,32792,13491,32946,32907,13328,32917,32808,13178,32807,32857,13155,32807,33150,13071,33026,33044,13602,32766,32842,13042,32903,32823,13412,33019,32896,13313,32892,32901,13536,32890,33036,13515,32864,32920,13198,32848,32954,13076,32898,32787,13120,32885,32849,13262
33019,32916,13352,32812,32795,13496,32945,32902,13327,32914,32819,13158,32805,32856,13135,32812,33151,13067,33025,33049,13583,32764,32844,13023,32901,32823,13387,33023,32900,13308,32894,32904,13535,32891,33036,13492,32862,32911,13176,32851,32956,13060,32895,32783,13149,32881,32854,13273
33018,32912,13290,32809,32791,13468,32945,32895,13346,32917,32818,13173,32809,32861,13149,32806,33154,13062,33025,33053,13602,32764,32836,13058,32902,32822,13425,33021,32892,13323,32894,32899,13533,32895,33045,13486,32864,32914,13176,32848,32949,13075,32896,32786,13136,32886,32847,13274
33016,32913,13320,32808,32793,13467,32944,32907,13336,32916,32818,13139,32804,32862,13128,32807,33144,13027,33027,33054,13563,32767,32842,13061,32906,32821,13421,33016,32890,13320,32898,32906,13519,32893,33043,13507,32864,32919,13160,32847,32953,13077,32894,32786,13116,32883,32849,13264
33017,32915,13343,32811,32791,13491,32945,32899,13347,32914,32815,13155,32811,32855,13157,32805,33152,13046,33030,33054,13563,32764,32841,13050,32900,32825,13401,33023,32905,13321,32897,32903,13489,32891,33042,13513,32863,32918,13170,32847,32960,13060,32891,32783,13123,32876,32844,13283
